date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-239b%22	https://gchq.github.io/robots.txt		(from )
19:05:03	76856/76856	---M-Z	200	added ('OK')	text/html	etag:W/%22641e29b8-12c38%22	https://gchq.github.io/CyberChef/	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/index.html	(from )
19:05:03	1082/1082	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22641e29b8-43a%22	https://gchq.github.io/CyberChef/assets/aecc661b69309290f600.ico	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/assets/aecc661b69309290f600.ico	(from https://gchq.github.io/CyberChef/)
19:05:04	658140/658140	---M-Z	200	added ('OK')	text/css	etag:W/%22641e29b8-a0adc%22	https://gchq.github.io/CyberChef/assets/main.css	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/assets/main.css	(from https://gchq.github.io/CyberChef/)
19:05:04	1624/1624	---M--	200	added ('OK')	image/png	etag:%22641e29b8-658%22	https://gchq.github.io/CyberChef/images/cook_male-32x32.png	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/images/cook_male-32x32.png	(from https://gchq.github.io/CyberChef/)
19:05:04	5970/5970	---M--	200	added ('OK')	image/png	etag:%22641e29b8-1752%22	https://gchq.github.io/CyberChef/images/cyberchef-128x128.png	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/images/cyberchef-128x128.png	(from https://gchq.github.io/CyberChef/)
19:05:05	9945825/9945825	---M-Z	200	added ('OK')	application/javascript	etag:W/%22641e29b8-97c2e1%22	https://gchq.github.io/CyberChef/assets/main.js	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/assets/main.js	(from https://gchq.github.io/CyberChef/)
19:05:09	5453/5453	---M--	200	added ('OK')	image/png	etag:%22641e29b8-154d%22	https://gchq.github.io/CyberChef/images/fork_me.png	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/images/fork_me.png	(from https://gchq.github.io/CyberChef/)
19:05:10	354228/354228	---M-Z	200	added ('OK')	font/ttf	etag:W/%22641e29b8-567b4%22	https://gchq.github.io/CyberChef/assets/02aafe15b98928fdaa38.ttf	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/assets/02aafe15b98928fdaa38.ttf	(from https://gchq.github.io/CyberChef/assets/main.css)
19:05:13	41956822/41956822	---M--	200	added ('OK')	application/zip	etag:%22641e29b8-28035d6%22	https://gchq.github.io/CyberChef/CyberChef_v10.4.0.zip	C:/Users/natek/Desktop/web/CyberChef/gchq.github.io/CyberChef/CyberChef_v10.4.0.zip	(from https://gchq.github.io/CyberChef/)
